Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
Buenos Aires;Brandsen;Centro Educativo para la Producción Total (C.E.P.T.) Nº 18 Escuela de Alternancia;Institución de ETP;Estatal;56;31;25;Agropecuaria;SEC TEC
Buenos Aires;Adolfo Gonzales Chaves;Centro Educativo para la Producción Total (C.E.P.T.) Nº 19 ;Institución de ETP;Estatal;32;15;17;Agropecuaria;SEC TEC
Buenos Aires;General Alvarado;Centro Educativo para la Producción Total (C.E.P.T.) Nº 20 Escuela de Alternancia;Institución de ETP;Estatal;42;27;15;Agropecuaria;SEC TEC
Buenos Aires;General Viamonte;Centro Educativo para la Producción Total (C.E.P.T.) Nº 21 Los Toldos;Institución de ETP;Estatal;72;34;38;Agropecuaria;SEC TEC
Buenos Aires;General La Madrid;Centro Educativo para la Producción Total (C.E.P.T.) Nº 22 ;Institución de ETP;Estatal;55;24;31;Agropecuaria;SEC TEC
Buenos Aires;Patagones;Centro Educativo para la Producción Total (C.E.P.T.) Nº 23 ;Institución de ETP;Estatal;32;24;8;Agropecuaria;SEC TEC
Buenos Aires;Bragado;Centro Educativo para la Producción Total (C.E.P.T.) Nº 26 La Limpia Escuela de Alternancia;Institución de ETP;Estatal;32;19;13;Agropecuaria;SEC TEC
Buenos Aires;Daireaux;Centro Educativo para la Producción Total (C.E.P.T.) Nº 27 La Victoria;Institución de ETP;Estatal;36;19;17;Agropecuaria;SEC TEC
Buenos Aires;General Guido;Centro Educativo para la Producción Total (C.E.P.T.) Nº 28 La Unión;Institución de ETP;Estatal;66;46;20;Agropecuaria;SEC TEC
Buenos Aires;Magdalena;Centro Educativo para la Producción Total (C.E.P.T.) Nº 29 Roberto Payró Escuela de Alternancia;Institución de ETP;Estatal;52;30;22;Agropecuaria;SEC TEC
Buenos Aires;Puán;Centro Educativo para la Producción Total (C.E.P.T.) Nº 30 17 de Agosto;Institución de ETP;Estatal;32;17;15;Agropecuaria;SEC TEC
Buenos Aires;Azul;Centro Educativo para la Producción Total (C.E.P.T.) Nº 31 Pablo Acosta;Institución de ETP;Estatal;95;55;40;Agropecuaria;SEC TEC
Buenos Aires;Exaltación de la Cruz;Centro Educativo para la Producción Total (C.E.P.T.) Nº 32 Diego Gaynor;Institución de ETP;Estatal;45;26;19;Agropecuaria;SEC TEC
Buenos Aires;Cañuelas;Centro Educativo para la Producción Total (C.E.P.T.) Nº 33 El Deslinde;Institución de ETP;Estatal;44;25;19;Agropecuaria;SEC TEC
Buenos Aires;San Cayetano;Centro Educativo para la Producción Total (C.E.P.T.) Nº 34 ;Institución de ETP;Estatal;57;31;26;Agropecuaria;SEC TEC
Buenos Aires;Coronel Dorrego;Centro Educativo para la Producción Total (C.E.P.T.) Nº 35 ;Institución de ETP;Estatal;74;39;35;Agropecuaria;SEC TEC
Buenos Aires;Saladillo;Centro Educativo para la Producción Total (C.E.P.T.) Nº 36 La Barrancosa;Institución de ETP;Estatal;56;27;29;Agropecuaria;SEC TEC
Buenos Aires;Las Flores;Centro Educativo para la Producción Total (C.E.P.T.) Nº 37 ;Institución de ETP;Estatal;39;17;22;Agropecuaria;SEC TEC
La Pampa;Puelén;Centro Educativo Polivalente  ;Institución de ETP;Estatal;170;83;87;Agropecuaria;SEC TEC
La Rioja;Capital;Colegio  Pre Universitario General San Martín ;Institución de ETP;Estatal;353;178;175;Servicios;SEC TEC
La Rioja;Castro Barros;Colegio  Provincial de Aminga;Institución de ETP;Estatal;59;23;36;Industrial;SEC TEC
La Rioja;Chilecito;Colegio  Secundario Provincial de Nonogasta;Institución de ETP;Estatal;71;33;38;Industrial;SEC TEC
La Pampa;Realicó;Colegio Agropecuario  Realicó;Institución de ETP;Estatal;55;34;21;Agropecuaria;SEC TEC
Santiago del Estero;Banda;Colegio Agrotécnico  La Granja;Institución de ETP;Estatal;118;56;62;Agropecuaria;SEC TEC
Santiago del Estero;Copo;Colegio Agrotécnico  Papa Juan XXIII;Institución de ETP;Estatal;154;76;78;Agropecuaria;SEC TEC
Santiago del Estero;Jiménez;Colegio Agrotécnico Nº 01 José Manuel Estrada;Institución de ETP;Estatal;196;89;107;Agropecuaria;SEC TEC
Santiago del Estero;Guasayán;Colegio Agrotécnico Nº 04 ;Institución de ETP;Estatal;87;44;43;Agropecuaria;SEC TEC
Santiago del Estero;General Taboada;Colegio Agrotécnico Nº 06 Nuestra Señora del Valle;Institución de ETP;Estatal;148;73;75;Agropecuaria;SEC TEC
Santiago del Estero;Pellegrini;Colegio Agrotécnico Nº 2 María Auxiliadora;Institución de ETP;Estatal;284;129;155;Agropecuaria;SEC TEC
Santiago del Estero;Alberdi;Colegio Agrotécnico Nº 22 Colegio Agrotécnico Virgen de Huachana LL-22;Institución de ETP;Privado;141;60;81;Agropecuaria;SEC TEC
Chubut;Futaleufú;Colegio Agrotécnico Nº 740 Escuela Secundaria E.T.P N°740;Institución de ETP;Estatal;132;72;60;Agropecuaria;SEC TEC
Santiago del Estero;Alberdi;Colegio Agrotécnico Nº LL 60 San Benito;Institución de ETP;Privado;78;33;45;Agropecuaria;SEC TEC
Chubut;Biedma;Colegio Municipal de Pesca Nº 2701 Juan Demonte;Institución de ETP;Estatal;314;161;153;Agropecuaria;SEC TEC
La Rioja;Chilecito;Colegio Nacional Agrotécnico  Ing. Julio César Martínez;Institución de ETP;Estatal;296;132;164;Agropecuaria;SEC TEC
Chubut;Rawson;Colegio Nº 748 Teniente Coronel de Marina Luis Piedrabuena;Institución de ETP;Estatal;291;185;106;Industrial;SEC TEC
Chubut;Gaimán;Colegio Nº 781 Eladio Zamarreño;Institución de ETP;Estatal;130;58;72;Industrial;SEC TEC
San Juan;Rivadavia;Colegio Parroquial  San José;Institución de ETP;Privado;177;81;96;Industrial;SEC TEC
San Juan;San Martín;Colegio Parroquial  San Juan Bosco;Institución de ETP;Privado;194;84;110;Agropecuaria;SEC TEC
Chubut;Rawson;Colegio Politécnico Nº 702 Doctor Guillermo Rawson;Institución de ETP;Estatal;721;434;287;Industrial;SEC TEC
Chubut;Biedma;Colegio Politécnico Nº 703 José Toschke;Institución de ETP;Estatal;436;289;147;Industrial;SEC TEC
Chubut;Escalante;Colegio Privado Nº 1705 Salesiano Dean Funes;Institución de ETP;Privado;246;246;0;Industrial;SEC TEC
San Juan;Chimbas;Colegio Privado Nº 5218-01 Nuestra Señora del Rosario de Andacollo;Institución de Otro Nivel y/o Modalidad;Privado;336;158;178;Servicios;SEC TEC
Tierra del Fuego;Río Grande;Colegio Provincial  Dr. Ernesto Guevara;Institución de ETP;Estatal;258;187;71;Servicios;SEC TEC
Tierra del Fuego;Ushuaia;Colegio Provincial  Dr. José María Sobral;Institución de ETP;Estatal;52;27;25;Industrial;SEC TEC
Tierra del Fuego;Ushuaia;Colegio Provincial  Ernesto Sábato;Institución de Otro Nivel y/o Modalidad;Estatal;40;22;18;Servicios;SEC TEC
Tierra del Fuego;Río Grande;Colegio Provincial de Educación Tecnológica (C.P.E.T.)  Ing. Fabio Carlos Reiss;Institución de ETP;Estatal;518;325;193;Industrial;SEC TEC-FP
La Rioja;Capital;Colegio Provincial Frutihortícola Nº 11 ;Institución de ETP;Estatal;49;28;21;Agropecuaria;SEC TEC
Chubut;Rawson;Colegio Provincial Nº 724 Presidente de la Nación Dr. Arturo Umberto Illia;Institución de ETP;Estatal;107;76;31;Servicios;SEC TEC
Chubut;Escalante;Colegio Provincial Nº 742 Ciudad del Petróleo;Institución de ETP;Estatal;301;167;134;Servicios;SEC TEC
Chubut;Escalante;Colegio Provincial Técnico Nº 749 General Ingeniero Alonso Baldrich;Institución de ETP;Estatal;321;222;99;Industrial;SEC TEC
Santiago del Estero;Banda;Colegio Secundario  Pablo Laguzzi por los Derechos de los Niños;Institución de ETP;Estatal;59;29;30;Agropecuaria;SEC TEC
La Rioja;Chilecito;Colegio Secundario Agrotécnico  José Manuel Estrada;Institución de ETP;Estatal;176;80;96;Agropecuaria;SEC TEC
La Rioja;General Lamadrid;Colegio Secundario Agrotécnico  Presidente Dr. Carlos Saúl Menem;Institución de ETP;Estatal;96;56;40;Agropecuaria;SEC TEC
Tierra del Fuego;Ushuaia;Colegio Técnico Provincial  Antonio Martín Marte;Institución de ETP;Estatal;161;91;70;Servicios;SEC TEC
Tierra del Fuego;Río Grande;Colegio Técnico Provincial  Malvinas Argentinas;Institución de ETP;Estatal;229;119;110;Industrial;SEC TEC
Tierra del Fuego;Ushuaia;Colegio Técnico Provincial Nº 1 Olga B. de Arko;Institución de ETP;Estatal;668;370;298;Industrial;SEC TEC-FP
Chubut;Escalante;Colegio Universitario Patagónico  Prof. Adriana Librandi;Institución de Otro Nivel y/o Modalidad;Estatal;93;41;52;Industrial;SEC TEC
Ciudad de Buenos Aires;Comuna N° 8;Escuela  de Educación Técnica de Nivel Secundario de la Universidad de Buenos Aires;Institución de ETP;Estatal;284;163;121;Industrial;SEC TEC
Corrientes;Capital;Escuela  Regional de Agricultura, Ganadería e Industria Afines;Institución de ETP;Estatal;438;251;187;Agropecuaria;SEC TEC
Río Negro;General Roca;Escuela Agraria Nº 64 Alto Valle Este;Institución de ETP;Privado;154;72;82;Agropecuaria;SEC TEC
Catamarca;Paclín;Escuela Agroganadera  Fray Vicente Alcaraz;Institución de ETP;Estatal;95;47;48;Agropecuaria;SEC TEC
San Juan;25 de Mayo;Escuela Agroindustrial  ;Institución de ETP;Estatal;149;78;71;Industrial;SEC TEC
